Nimi	DJ	EX	Kokku	PR	Syva	XP	Yldine	dj01	dj02	eksam	ettepanekud	ex01	ex02	ex03	ex04	ex05	ex06	ex07	ex08	ex09	ex11	ex12	ex13	ex14	ex15	food	general	git	kaugōpe	konsult	meme	mitteniiolulisedagasiiskiolulised-teadaanded	olulised-teadaanded	pr01	pr02	pr03	pr04	pr06	pr07	pr08	pr09	pr11	pr12	pr13	pr14	pr15	random	stat	syvapy-general	videod	wat	xp01	xp02	xp03	xp04	xp05	xp06	xp07	Kokku
marko169	0	6360	13199	1926	3	3	4910	0	0	321	0	793	0	1730	279	0	87	0	598	0	806	737	368	687	275	565	1758	0	22	217	11	0	0	227	31	0	0	0	0	356	0	110	392	602	12	196	1942	0	74	0	0	0	0	0	0	0	3	0	39600
TROLLOLOLOLOLOLO	350	40488	71821	11456	3034	2684	16843	350	0	1080	272	1055	610	2922	1091	636	1377	712	885	688	2059	2312	11762	11766	2613	78	4481	205	86	39	47	137	0	669	77	36	0	1089	42	516	0	315	1771	4644	1424	585	9664	580	174	0	288	2123	0	0	206	57	298	0	218497
Anubis	179	50504	193595	18987	1194	1015	122910	157	22	717	1601	987	2409	4218	1627	4327	1887	5238	6023	4408	3923	4749	9804	904	0	6868	17593	1058	0	1955	5463	474	0	763	989	63	0	537	19	5114	1363	3033	4734	532	1236	77	79462	6848	871	0	527	0	8	328	349	56	199	75	581979
outworld	0	3201	4640	491	123	123	825	0	0	0	0	124	0	0	846	0	728	0	340	202	29	1	393	359	179	0	117	0	0	0	7	0	0	0	0	0	0	0	58	36	0	0	0	141	0	0	701	0	0	0	256	120	0	0	0	0	3	0	14043
mj	0	4682	10856	124	0	0	6050	0	0	0	68	269	140	1896	187	2119	0	0	0	0	0	71	0	0	0	1251	327	0	33	86	185	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	3977	45	78	0	0	0	0	0	0	0	0	0	32568
yipers	0	1386	10287	2344	23	23	6534	0	0	0	0	884	160	179	0	0	0	8	0	0	0	155	0	0	0	168	874	138	1061	42	185	61	0	665	1256	0	353	0	0	0	0	70	0	0	0	0	3711	239	55	0	0	23	0	0	0	0	0	0	30884
Glad	323	6643	20636	1919	323	0	11751	323	0	1222	117	0	0	0	0	0	0	319	375	810	330	1060	1690	1524	535	529	987	108	0	0	93	24	0	0	0	0	0	0	0	121	0	14	110	1309	146	207	8343	328	0	0	12	0	0	0	0	0	0	0	62231
Atren	0	5558	18571	3979	3776	3776	5258	0	0	0	0	1431	996	2111	295	188	202	246	89	0	0	0	0	0	0	3	1799	227	833	0	0	0	0	1539	1868	0	80	22	241	0	210	0	0	0	0	0	1091	397	908	0	19	2031	1219	526	0	0	0	0	59489
markal	0	3348	26534	3303	0	0	19883	0	0	10	0	49	0	50	0	0	0	0	147	684	0	1096	0	1254	68	2197	5239	0	1517	274	0	127	0	0	0	0	0	176	0	0	0	0	0	0	0	0	9608	911	0	0	3127	0	0	0	0	0	0	0	79602
Kaido.K	1095	67207	155475	23746	17637	16542	46885	1095	0	0	1576	832	0	2460	12418	4733	3713	1292	6800	1372	13260	8430	6463	2832	2602	0	11826	1136	7633	117	747	47	0	207	92	130	1964	1947	669	7822	258	2871	1556	1250	627	945	17903	5647	253	0	3408	4012	8096	2025	705	1428	40	236	484062
uudu	0	163	2863	13	0	0	2687	0	0	0	0	8	0	0	0	0	103	0	8	0	17	27	0	0	0	292	6	0	0	0	70	40	0	0	0	0	0	0	0	0	13	0	0	0	0	0	2178	62	39	0	0	0	0	0	0	0	0	0	8589
シkwaper	0	1410	1868	106	0	0	352	0	0	142	0	0	0	0	0	0	0	0	0	0	206	0	279	433	492	0	69	3	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	73	65	0	0	0	0	0	0	0	0	0	0	5604
Patapon	0	7933	14110	2361	420	420	3396	0	0	301	0	0	0	0	0	0	1716	286	1170	418	138	824	695	1102	1584	0	1396	0	139	0	0	0	0	0	0	0	0	0	73	994	0	171	622	317	0	99	1560	0	0	0	85	0	420	0	0	0	0	0	42750
Taurixz	492	10226	17832	2726	4189	3697	691	492	0	0	0	0	0	1422	261	228	2661	309	2536	227	559	264	374	1103	282	158	0	0	0	0	100	0	0	0	0	0	0	841	0	1054	0	0	113	718	0	0	433	0	0	0	0	1792	1905	0	0	0	0	0	57685
André	0	8802	12644	1983	0	0	1859	0	0	0	0	0	0	938	0	562	1311	343	379	1080	2908	296	398	587	0	0	541	86	0	0	0	0	0	0	312	0	0	152	0	340	0	0	238	941	0	0	1005	227	0	0	0	0	0	0	0	0	0	0	37932
Tristan	514	6322	7573	175	669	155	407	27	487	0	0	50	0	450	275	255	1109	453	0	811	1414	0	0	1127	378	0	57	0	0	0	0	321	0	0	0	0	0	35	65	0	0	0	0	0	0	0	29	0	0	0	75	0	155	0	0	0	0	0	23388
firehax	0	14535	27435	1903	3722	3722	7275	0	0	0	0	0	0	3134	931	50	3099	349	1973	205	2793	1420	107	357	117	56	1231	33	50	0	36	0	0	0	0	0	0	468	15	0	0	84	785	329	122	0	3740	1303	826	0	100	45	2625	1052	0	0	0	0	86027
Ea	0	1408	2295	0	0	0	887	0	0	0	0	0	0	0	227	0	529	354	248	0	0	0	0	50	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	6885
kaspar	0	1172	2734	37	108	108	1417	0	0	0	0	43	26	475	23	115	204	0	222	0	40	0	24	0	0	65	287	0	196	0	68	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	667	75	59	0	30	108	0	0	0	0	0	0	8310
Taavi	148	771	1531	170	269	121	321	148	0	0	0	189	0	0	0	0	240	0	0	51	147	0	141	0	3	0	189	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	132	0	0	0	0	0	121	0	0	0	0	0	4862
Pls no tilt	0	0	1285	83	0	0	1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	5	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	68	0	0	0	586	17	0	0	0	0	0	0	0	0	0	0	3855
kenlaumets	0	2657	4542	653	0	0	1232	0	0	0	0	315	324	79	77	0	0	35	0	253	1382	112	63	0	17	0	438	255	0	4	0	0	0	0	0	0	0	0	0	0	0	355	298	0	0	0	497	22	16	0	0	0	0	0	0	0	0	0	13626
andrestimate	0	56	513	117	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	1539
Kert	227	14676	37690	4149	5164	4937	13701	227	0	0	0	752	0	0	125	2700	7645	466	435	238	1737	295	213	70	0	49	5982	547	2600	0	707	0	0	0	0	0	0	2144	436	116	0	0	0	0	220	0	2601	1215	0	0	1233	0	1142	3712	83	0	0	0	118234
hhar0ld	0	558	5541	559	0	0	4424	0	0	0	0	412	136	0	0	0	0	0	0	0	0	0	10	0	0	30	1448	387	0	0	0	0	0	218	0	0	0	0	130	0	0	0	0	0	6	0	2215	140	204	0	205	0	0	0	0	0	0	0	16623
tankitõrje	0	0	205	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	615
f11	0	2894	10068	215	3033	3033	3926	0	0	0	0	802	611	343	1043	20	75	0	0	0	0	0	0	0	0	0	60	204	1419	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	2021	0	222	0	0	3033	0	0	0	0	0	0	33237
sutgon	486	6884	27347	1098	9935	9449	9430	486	0	347	0	479	374	2948	497	19	333	142	151	1302	0	88	87	406	58	67	3789	0	0	0	0	0	0	225	0	0	0	0	0	0	0	21	0	0	0	0	3036	1897	294	0	852	6911	937	372	533	240	269	187	91976
Emily Joy Krohn	0	1420	8705	1293	230	230	5762	0	0	0	0	0	235	309	69	118	331	53	0	0	262	0	0	0	43	377	1460	0	0	0	15	259	0	254	310	0	0	0	0	244	0	0	485	0	0	0	3115	430	106	0	0	230	0	0	0	0	0	0	26345
Liis	0	2408	3938	423	592	592	515	0	0	0	0	0	0	0	0	0	580	22	66	0	428	0	416	262	634	0	308	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	207	0	164	43	0	0	0	0	0	527	0	65	0	0	12406
Tärk	1778	7745	21275	2581	2073	295	8876	1287	491	0	0	634	1148	119	0	411	40	926	50	1035	25	81	3276	0	0	0	1811	935	653	0	73	140	0	109	614	0	136	491	126	314	109	383	0	0	0	0	4593	366	305	0	299	95	82	99	0	0	19	0	65898
Tanel	0	7587	14893	1467	0	0	5839	0	0	0	0	1110	0	2676	0	1701	0	118	0	357	957	668	0	0	0	0	3001	0	0	27	45	147	0	0	173	0	0	302	0	0	0	0	992	0	0	0	1725	894	0	0	0	0	0	0	0	0	0	0	44679
Janar	0	4649	10064	1140	0	0	4275	0	0	0	0	1914	136	0	0	0	0	0	0	0	0	330	0	2269	0	493	1568	177	45	0	0	0	0	684	0	0	0	0	0	0	0	0	456	0	0	0	1122	870	0	0	0	0	0	0	0	0	0	0	30192
SkullTiger	0	1402	1537	46	0	0	89	0	0	0	0	0	0	0	0	0	380	161	357	0	504	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	4611
sqvat	0	443	780	82	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	2340
rs	0	1322	4524	2124	0	0	1078	0	0	0	0	0	0	394	0	0	351	0	0	0	165	0	412	0	0	0	676	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	239	163	0	0	1899	0	0	0	0	0	0	0	13572
frang	0	21	7414	1	0	0	7392	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	671	56	14	0	0	456	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5996	178	0	0	1	0	0	0	0	0	0	0	22242
Piidur	0	0	1654	0	0	0	1654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	43	1	0	10	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	101	0	0	0	0	0	0	0	0	0	0	4962
Venres	0	0	127	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	381
StoneMalone	0	0	149	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	19	0	0	0	0	0	0	0	0	0	0	447
Karl-Joosep	0	1929	2822	782	100	100	11	0	0	0	0	0	0	0	260	0	285	0	0	0	102	469	312	346	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	645	0	0	11	0	0	0	0	100	0	0	0	0	0	0	8566
SapnikZ	119	5459	8677	1471	119	0	1628	119	0	0	0	0	13	821	736	75	0	0	452	402	1018	763	290	889	0	0	1072	34	0	0	60	0	0	182	131	0	0	0	0	0	228	398	377	0	0	155	254	208	0	0	0	0	0	0	0	0	0	0	26150
Anurist	0	4051	10875	1604	0	0	5220	0	0	0	0	0	145	0	116	0	163	0	629	37	1542	746	0	673	0	194	698	377	0	292	0	0	0	0	0	0	0	1001	0	0	0	0	14	215	0	158	3556	103	0	0	216	0	0	0	0	0	0	0	32625
Aleksander Smirnov	0	1341	1438	0	0	0	97	0	0	0	0	239	0	816	286	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	4314
lliizu	0	806	1199	79	0	0	314	0	0	0	0	0	0	281	107	0	147	0	0	36	107	0	128	0	0	0	142	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	41	0	0	0	66	106	0	0	0	0	0	0	0	0	0	0	3597
HipSterius	0	6379	8216	453	186	186	1198	0	0	137	0	205	0	1086	1446	382	1783	11	96	0	92	47	72	1159	0	0	250	137	0	0	52	0	0	214	88	0	0	0	151	0	0	0	0	0	0	0	388	234	0	0	0	186	0	0	0	0	0	0	24834
durgress	0	940	1680	34	0	0	706	0	0	0	0	0	91	330	477	0	0	0	0	0	0	42	0	0	0	0	196	0	74	0	34	61	0	0	0	0	0	0	0	0	0	0	34	0	0	0	311	30	0	0	0	0	0	0	0	0	0	0	5040
Rait K3	0	376	3148	632	0	0	2140	0	0	587	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	52	6	0	0	0	121	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1307	0	0	0	632	0	0	0	0	0	0	0	9444
KristjanP	0	2284	5107	2754	0	0	69	0	0	0	0	221	0	556	579	325	147	0	0	129	0	327	0	0	0	0	0	0	0	0	0	0	0	2754	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	15321
Aivar Hinrikus	0	8198	13777	2908	0	0	2671	0	0	0	0	1356	2317	0	0	0	0	540	3103	535	347	0	0	0	0	0	1504	0	0	0	0	0	0	0	1483	0	0	0	1269	0	0	0	0	156	0	0	1167	0	0	0	0	0	0	0	0	0	0	0	41331
Lightning	0	9618	14364	2878	0	0	1868	0	0	0	0	136	597	0	229	1297	3841	802	1374	912	0	290	0	140	0	0	0	0	896	0	0	0	0	0	524	0	0	0	0	264	193	0	157	0	0	0	972	0	0	0	1740	0	0	0	0	0	0	0	43092
timmu	0	4820	6800	906	956	956	118	0	0	0	0	0	52	693	0	0	661	0	363	1703	1044	304	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	782	85	0	0	0	118	0	0	0	0	0	176	267	513	0	0	0	21356
Skye	0	108	12328	510	5328	5328	6382	0	0	0	0	0	0	0	0	0	27	0	37	44	0	0	0	0	0	0	4314	0	0	0	102	0	0	0	0	0	0	0	94	416	0	0	0	0	0	0	1155	811	0	0	0	168	786	1056	3318	0	0	0	42312
andres	0	531	3392	11	0	0	2850	0	0	0	0	267	119	0	126	0	0	19	0	0	0	0	0	0	0	22	74	0	2412	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	10176
ER	0	16529	50467	10557	1484	1484	21897	0	0	0	0	0	0	909	0	884	4379	443	1213	101	2167	1938	48	4257	190	0	4030	0	13174	228	933	318	0	33	1046	0	0	125	389	5184	325	68	2474	116	273	68	3214	0	0	0	456	0	1357	127	0	0	0	0	152885
MZ	648	7006	8838	159	648	0	1025	648	0	16	0	0	0	743	60	0	0	0	0	0	0	960	0	4306	937	0	646	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	274	0	0	0	0	0	0	0	0	0	0	0	27162
lolxd	0	65	1214	339	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	1	0	0	0	77	63	0	318	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	352	0	0	0	144	0	0	0	0	0	0	0	3642
Risto	0	591	1078	135	26	26	326	0	0	0	0	213	0	0	0	0	0	0	0	230	148	0	0	0	0	36	204	0	0	0	0	30	0	135	0	0	0	0	0	0	0	0	0	0	0	0	39	17	0	0	0	0	26	0	0	0	0	0	3260
Andri	0	8719	12072	497	346	346	2510	0	0	0	0	0	0	2345	1092	0	0	369	1148	0	810	0	1174	382	1399	0	527	0	0	96	0	0	0	201	0	0	0	0	0	296	0	0	0	0	0	0	1887	0	0	0	0	346	0	0	0	0	0	0	36562
bode	0	4629	6720	0	0	0	2091	0	0	0	0	611	30	49	954	0	0	0	0	0	72	265	2648	0	0	0	936	0	0	539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	428	30	158	0	0	0	0	0	0	0	0	0	20160
$A$HA	6	10491	12486	561	224	218	1210	6	0	0	0	0	0	0	752	617	935	1055	1094	1835	1454	528	391	1830	0	0	333	0	0	0	45	104	0	43	0	0	0	34	0	470	0	0	0	0	14	0	432	296	0	0	0	0	0	0	0	0	0	218	37682
Raul	600	19605	29331	3855	2315	1715	3556	600	0	59	0	0	0	1083	200	156	3761	0	2147	0	822	374	5046	5735	281	0	2667	0	0	0	0	0	0	0	0	0	0	0	125	171	0	0	3148	74	337	0	830	0	0	0	0	671	1044	0	0	0	0	0	90308
KristjanErik	0	146	219	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	657
kristjan.	0	271	2023	101	674	674	977	0	0	0	0	0	0	66	0	91	17	0	97	0	0	0	0	0	0	0	617	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	360	0	0	0	0	674	0	0	0	0	0	0	6743
Raki	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	9
TheCreepySheep	529	23888	58328	8361	6384	5855	19695	529	0	0	58	2824	295	7385	1143	1857	1849	204	485	230	1611	245	1325	4134	301	0	5461	558	0	0	199	28	0	3670	711	12	112	2385	399	0	0	0	394	0	206	0	10489	782	2120	0	472	658	1224	1642	2231	45	55	0	181368
VanWolfing	0	2797	5940	732	438	438	1973	0	0	0	0	58	3	748	567	118	27	1116	0	0	0	160	0	0	0	90	866	0	0	157	0	64	0	167	0	0	0	0	352	190	0	0	0	0	0	0	395	136	265	0	23	398	40	0	0	0	0	0	18258
reneberkmann	0	1018	3541	305	458	458	1760	0	0	0	0	227	0	187	71	0	0	0	0	199	199	0	0	0	135	0	91	0	1318	0	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0	0	351	0	0	0	0	458	0	0	0	0	0	0	11081
raltm2e	0	824	1977	252	306	306	595	0	0	0	0	0	17	390	0	0	84	323	10	0	0	0	0	0	0	0	196	80	0	36	0	0	0	0	0	0	0	18	12	222	0	0	0	0	0	0	199	0	84	0	0	306	0	0	0	0	0	0	6237
renar	0	0	243	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	729
RSam	0	419	1934	0	782	782	733	0	0	134	0	0	0	0	0	0	0	154	0	0	0	265	0	0	0	0	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	133	28	0	0	0	621	6584
SiimM	0	4975	6842	1266	0	0	601	0	0	0	0	88	339	314	324	386	517	0	1356	531	386	279	0	0	455	0	67	0	0	228	0	0	0	0	0	0	0	432	15	246	0	0	442	0	80	0	137	0	169	0	51	0	0	0	0	0	0	0	20526
PeebukasNagmir69	0	3780	5222	1211	0	0	231	0	0	0	0	0	0	538	0	227	836	439	828	120	0	340	0	449	3	0	58	0	0	85	0	0	0	0	0	0	0	0	0	754	0	0	98	359	0	0	88	0	0	0	0	0	0	0	0	0	0	0	15666
Holger	0	12593	15412	2207	0	0	612	0	0	0	0	0	0	524	873	0	4125	363	1170	559	680	0	4299	0	0	0	0	0	81	0	0	0	0	0	0	0	447	1760	0	0	0	0	0	0	0	0	531	0	0	0	0	0	0	0	0	0	0	0	46236
andreivassiljev	121	6839	10525	1882	121	0	1683	121	0	632	0	299	35	467	536	236	2322	0	489	678	1488	0	0	289	0	0	550	0	0	0	0	56	0	214	0	0	0	271	0	588	0	0	809	0	0	0	77	368	0	0	0	0	0	0	0	0	0	0	31696
sociaL97	0	0	212	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	636
Alex.	0	3156	3726	176	0	0	394	0	0	0	0	91	0	389	252	0	0	0	0	0	172	321	231	117	1583	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	57	0	0	0	0	0	0	0	0	0	0	0	11178
G[A]stly	0	1231	6209	750	3725	3725	503	0	0	95	0	543	0	0	0	0	403	0	120	0	0	0	165	0	0	0	256	0	0	0	0	0	0	0	0	0	0	494	0	0	0	0	0	63	0	0	152	0	0	0	193	251	1735	290	0	1449	0	0	22352
zetty	0	664	1858	202	33	33	959	0	0	0	0	45	102	465	0	0	0	0	0	0	0	52	0	0	0	0	145	0	27	46	94	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	647	0	0	0	0	15	18	0	0	0	0	0	5607
Th3_D4ng3r	0	0	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	150
kaalikas	0	429	927	68	108	108	322	0	0	0	0	0	315	114	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	108	0	0	0	0	0	0	2889
Lammas	0	19	309	265	0	0	25	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	927
semph	0	451	814	0	140	140	223	0	0	0	0	197	0	159	0	95	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	51	0	0	140	0	0	0	0	0	0	2582
jkymmel	0	877	3408	571	48	48	1912	0	0	0	0	877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014	0	0	0	0	0	0	103	102	0	0	0	0	0	0	0	0	322	0	0	741	157	0	0	44	48	0	0	0	0	0	0	10272
BruskiP	0	0	38	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	114
Entityknownevil	0	0	110	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	330
